Start,StartInMin,End,EndInMin,SleepQuality,DurationInHourMin,DurationInMins,WakeUpFace,WakeUpClass,HeartRate,Activity (Steps)
10/30/2016 23:56,1436.00,10/31/16 7:12 AM,432.00,0.67,0.3028,436,:|,0,63,1305
10/31/2016 23:45,1425.00,11/1/16 7:13 AM,433.00,0.6,0.3111,448,:|,0,67,5130
11/1/2016 23:26,1406.00,11/2/16 7:13 AM,433.00,0.61,0.3243,467,:|,0,61,3451
11/3/2016 0:01,1.00,11/3/16 7:09 AM,429.00,0.64,0.2972,428,:|,0,72,3872
11/3/2016 23:21,1401.00,11/4/16 7:12 AM,432.00,0.72,0.3264,470,:|,0,73,1914
11/7/2016 0:38,38.00,11/7/16 6:55 AM,415.00,0.51,0.2611,376,:|,0,71,2317
11/8/2016 0:01,1.00,11/8/16 7:04 AM,424.00,0.68,0.2931,422,:|,0,72,4398
11/9/2016 2:13,133.00,11/9/16 7:11 AM,431.00,0.47,0.2069,298,:|,0,72,2478
11/10/2016 0:26,26.00,11/10/16 7:10 AM,430.00,0.56,0.2799,403,:|,0,66,2660
11/10/2016 23:52,1432.00,11/11/16 7:28 AM,448.00,0.7,0.3167,456,:|,0,73,2480
11/13/2016 0:52,52.00,11/13/16 10:04 AM,604.00,0.79,0.3826,551,:),1,77,772
11/14/2016 0:28,28.00,11/14/16 7:27 AM,447.00,0.64,0.291,419,:|,0,77,1132
11/15/2016 1:01,61.00,11/15/16 7:10 AM,430.00,0.58,0.2556,368,:|,0,82,2884
11/16/2016 0:21,21.00,11/16/16 7:00 AM,420.00,0.67,0.2771,399,:|,0,66,2341
11/17/2016 0:43,43.00,11/17/16 6:59 AM,419.00,0.66,0.2611,376,:|,0,66,3311
11/18/2016 1:10,70.00,11/18/16 7:14 AM,434.00,0.58,0.2521,363,:(,-1,66,2905
11/20/2016 3:54,234.00,11/20/16 11:57 AM,717.00,0.77,0.3354,483,:),1,96,2719
11/20/2016 23:54,1434.00,11/21/16 7:11 AM,431.00,0.71,0.3028,436,:|,0,80,1962
11/21/2016 23:58,1438.00,11/22/16 7:14 AM,434.00,0.73,0.3028,436,:|,0,66,3227
11/22/2016 23:54,1434.00,11/23/16 7:10 AM,430.00,0.76,0.3021,435,:|,0,70,4886
11/24/2016 1:30,90.00,11/24/16 8:21 AM,501.00,0.71,0.2854,411,:),1,93,2922
11/24/2016 23:42,1422.00,11/25/16 1:11 PM,791.00,0.64,0.5618,809,:),1,88,4327
11/27/2016 1:53,113.00,11/27/16 8:45 AM,525.00,0.7,0.2854,411,:),1,67,621
11/28/2016 0:29,29.00,11/28/16 7:15 AM,435.00,0.71,0.2813,405,:|,0,55,1008
11/29/2016 0:42,42.00,11/29/16 7:10 AM,430.00,0.65,0.2688,387,:|,0,59,3296
11/29/2016 23:00,1380.00,11/30/16 7:13 AM,433.00,0.88,0.3417,492,:|,0,70,2399
11/30/2016 22:56,1376.00,12/1/16 7:11 AM,431.00,0.78,0.3431,494,:(,-1,65,2532
12/1/2016 23:50,1430.00,12/2/16 7:14 AM,434.00,0.68,0.3083,444,:|,0,68,1940
12/3/2016 0:53,53.00,12/3/16 8:58 AM,538.00,0.92,0.3361,484,:|,0,76,4002
